#{"t_start": 1674727166.545253, "env_id": null}
r,l,t
19.0,2697,2658.491011
17.0,2725,2676.936535
20.0,2779,2682.546422
21.0,2577,2683.4481
9.0,3484,2683.736409
15.0,2911,2684.287033
20.0,2675,2687.501121
21.0,2577,2690.871894
19.0,2687,2691.702312
21.0,2577,2709.701324
20.0,2612,2718.055331
17.0,2833,2718.837189
16.0,2842,2719.853567
20.0,2651,2721.743953
15.0,3056,2723.033706
19.0,2676,2725.459187
20.0,2651,2725.678961
19.0,2727,2744.451095
17.0,2737,2752.699271
20.0,2734,2756.276292
16.0,2894,2756.358703
15.0,3040,2757.567281
18.0,2747,2757.697602
21.0,2577,2757.996768
17.0,2989,2763.716348
19.0,2820,2780.240237
18.0,2771,2787.934238
21.0,2577,2789.35363
19.0,2663,2790.097601
21.0,2577,2790.282738
17.0,2774,2792.811217
16.0,2853,2794.379444
19.0,3019,2801.615834
21.0,2577,2812.516643
20.0,2658,2821.401012
19.0,2654,2822.352452
21.0,2577,2822.369228
21.0,2577,2822.553762
20.0,2651,2825.771585
21.0,2577,2826.641907
19.0,2694,2835.436787
20.0,2651,2845.998096
19.0,2669,2854.647437
21.0,2577,2854.750002
21.0,2577,2855.340086
20.0,2651,2855.863117
20.0,2651,2860.196907
18.0,2784,2860.998003
21.0,2577,2868.272146
20.0,2613,2878.848825
21.0,2576,2887.589224
21.0,2577,2887.888303
19.0,2615,2888.080213
21.0,2577,2888.416848
21.0,2577,2892.723246
21.0,2577,2893.521085
21.0,2560,2900.779836
18.0,2675,2912.828319
21.0,2577,2920.915141
21.0,2577,2921.252088
18.0,2712,2922.422009
18.0,2803,2923.002741
21.0,2560,2925.404988
20.0,2581,2933.570422
14.0,3334,2935.989263
18.0,2672,2946.76968
18.0,2688,2955.03059
19.0,2734,2955.141384
21.0,2577,2955.729029
17.0,2808,2957.725547
19.0,2742,2959.664029
14.0,2886,2969.501823
15.0,3116,2975.346921
21.0,2577,2979.089768
20.0,2614,2988.397088
19.0,2690,2988.825218
19.0,2566,2989.959927
21.0,2620,2992.795749
16.0,3116,2994.542738
15.0,2948,3006.468908
20.0,2673,3012.630541
13.0,3150,3014.576033
20.0,2612,3020.964204
21.0,2577,3022.178056
16.0,2819,3024.118029
19.0,2647,3027.405131
16.0,2868,3028.556895
17.0,2740,3041.054916
18.0,2640,3047.77288
14.0,2908,3049.149892
19.0,2680,3055.770752
21.0,2577,3056.366586
21.0,2577,3060.180922
10.0,3364,3063.518941
17.0,2897,3065.117262
21.0,2577,3073.381503
18.0,2675,3082.842513
20.0,2788,3082.942996
17.0,2725,3090.021026
17.0,2839,3092.480049
19.0,2669,3093.376043
16.0,2658,3096.630462
20.0,2787,3099.877458
8.0,3214,3113.750652
21.0,2577,3115.186357
17.0,2912,3119.615019
15.0,2815,3125.291865
21.0,2577,3126.003193
19.0,2698,3126.253553
20.0,2651,3129.96322
21.0,2577,3132.478073
21.0,2577,3147.343023
19.0,2608,3152.056141
10.0,3380,3155.831073
21.0,2577,3158.198498
19.0,2752,3160.614297
15.0,3211,3165.594699
20.0,2672,3165.695312
15.0,3049,3168.300732
20.0,2655,3180.791986
19.0,2663,3185.576535
17.0,2603,3188.775948
21.0,2576,3192.735303
18.0,2831,3193.638598
21.0,2577,3197.68646
19.0,2694,3199.271023
19.0,2662,3201.587086
18.0,2705,3214.524537
17.0,2776,3219.998271
17.0,2800,3223.811967
18.0,2559,3224.717729
17.0,2804,3228.706736
18.0,2712,3231.912689
21.0,2635,3232.391987
19.0,2728,3235.58322
19.0,2627,3247.135946
19.0,2762,3254.64844
19.0,2735,3259.124174
21.0,2577,3260.861873
17.0,3107,3262.532512
19.0,2727,3265.853695
20.0,2753,3266.969683
19.0,2592,3267.858919
20.0,2862,3283.332387
