#{"t_start": 1674743108.5023897, "env_id": null}
r,l,t
-20.0,842,1200.627298
-20.0,1116,1201.435527
-18.0,1168,1203.937981
-20.0,867,1205.266546
-21.0,988,1206.68387
-20.0,871,1207.65205
-20.0,842,1208.448616
-21.0,851,1210.034461
-20.0,932,1212.190747
-21.0,843,1213.604737
-20.0,878,1215.092728
-21.0,795,1215.813061
-21.0,933,1215.881622
-20.0,933,1215.999987
-20.0,843,1216.023175
-21.0,843,1216.266564
-18.0,1187,1217.718405
-20.0,926,1219.1458
-20.0,842,1221.360477
-20.0,934,1221.80683
-21.0,845,1222.816857
-21.0,793,1223.577123
-20.0,917,1225.125144
-21.0,853,1228.450231
-21.0,900,1230.753117
-20.0,838,1231.062009
-20.0,1126,1231.494391
-21.0,825,1231.741192
-21.0,874,1232.929087
-21.0,911,1233.226107
-20.0,919,1233.555239
-19.0,958,1234.195337
-20.0,963,1236.110635
-20.0,898,1236.311158
-21.0,793,1236.54276
